armed,age,gender,is_black,city,signs_of_mental_illness,threat,flee,body_camera,population,percent_completed_hs,poverty_rate,median_income,share_black,share_not_black
Yes,30,M,No,"Fort Worth, TX",No,Yes,No,No,855447,80.8,18.8,53214,18.9,81.1
Yes,53,M,No,"Fort Worth, TX",No,Yes,No,No,855447,80.8,18.8,53214,18.9,81.1
Yes,43,M,No,"Fort Worth, TX",No,Yes,Yes,Yes,855447,80.8,18.8,53214,18.9,81.1
Yes,53,M,No,"Fort Worth, TX",Yes,Yes,No,Yes,855447,80.8,18.8,53214,18.9,81.1
Yes,32,M,No,"Maricopa, AZ",Yes,Yes,No,No,47008,91.7,8.1,65793,9.7,90.3
Yes,49,M,No,"Weymouth, MA",No,Yes,No,No,56139,93.4,6.9,69123,3.1,96.9
Yes,42,M,Yes,"Scottsdale, AZ",No,Yes,Yes,No,246807,96.2,9.5,73288,1.7,98.3
Yes,24,M,No,"Scottsdale, AZ",No,Yes,Yes,Yes,246807,96.2,9.5,73288,1.7,98.3
Yes,40,M,No,"Scottsdale, AZ",Yes,Yes,Yes,No,246807,96.2,9.5,73288,1.7,98.3
Yes,36,M,No,"Hemet, CA",No,Yes,No,No,84078,79.5,26.0,33989,6.4,93.6
Yes,29,M,No,"Hemet, CA",No,Yes,No,No,84078,79.5,26.0,33989,6.4,93.6
Yes,27,M,No,"Hemet, CA",No,Yes,Yes,No,84078,79.5,26.0,33989,6.4,93.6
Yes,36,M,No,"Hemet, CA",No,Yes,No,No,84078,79.5,26.0,33989,6.4,93.6
Yes,34,M,No,"Hemet, CA",No,Yes,No,No,84078,79.5,26.0,33989,6.4,93.6
Yes,31,M,No,"Hemet, CA",No,Yes,Yes,No,84078,79.5,26.0,33989,6.4,93.6
Yes,19,M,Yes,"St. Louis, MO",No,Yes,No,No,312292,84.1,27.1,35599,49.2,50.8
Yes,23,M,Yes,"St. Louis, MO",No,Yes,Yes,No,312292,84.1,27.1,35599,49.2,50.8
Yes,18,M,Yes,"St. Louis, MO",No,Yes,Yes,No,312292,84.1,27.1,35599,49.2,50.8
Yes,61,F,No,"St. Louis, MO",No,Yes,No,No,312292,84.1,27.1,35599,49.2,50.8
Yes,52,M,Yes,"St. Louis, MO",No,Yes,No,No,312292,84.1,27.1,35599,49.2,50.8
Yes,15,M,Yes,"St. Louis, MO",No,Yes,Yes,No,312292,84.1,27.1,35599,49.2,50.8
Yes,38,M,Yes,"St. Louis, MO",No,Yes,Yes,No,312292,84.1,27.1,35599,49.2,50.8
Yes,19,M,Yes,"St. Louis, MO",No,Yes,Yes,No,312292,84.1,27.1,35599,49.2,50.8
Yes,21,M,Yes,"St. Louis, MO",No,Yes,Yes,No,312292,84.1,27.1,35599,49.2,50.8
Yes,63,M,Yes,"St. Louis, MO",No,Yes,No,No,312292,84.1,27.1,35599,49.2,50.8
Yes,50,F,Yes,"St. Louis, MO",No,Yes,No,No,312292,84.1,27.1,35599,49.2,50.8
Yes,33,M,No,"St. Louis, MO",Yes,Yes,No,No,312292,84.1,27.1,35599,49.2,50.8
Yes,21,M,No,"St. Louis, MO",No,Yes,No,No,312292,84.1,27.1,35599,49.2,50.8
Yes,27,M,Yes,"St. Louis, MO",No,Yes,Yes,No,312292,84.1,27.1,35599,49.2,50.8
Yes,31,M,No,"St. Louis, MO",Yes,Yes,Yes,No,312292,84.1,27.1,35599,49.2,50.8
Yes,17,F,No,"Longview, TX",Yes,Yes,No,No,81358,83.5,17.9,44544,22.9,77.1
Yes,23,M,No,"Longview, TX",No,Yes,No,No,81358,83.5,17.9,44544,22.9,77.1
Yes,61,M,No,"Austin, TX",Yes,Yes,No,No,937371,87.5,18.0,57689,8.1,91.9
Yes,27,M,No,"Austin, TX",No,Yes,No,No,937371,87.5,18.0,57689,8.1,91.9
Yes,31,F,No,"Austin, TX",Yes,Yes,No,No,937371,87.5,18.0,57689,8.1,91.9
Yes,35,M,No,"Austin, TX",No,Yes,Yes,No,937371,87.5,18.0,57689,8.1,91.9
Yes,25,M,No,"Austin, TX",Yes,Yes,No,No,937371,87.5,18.0,57689,8.1,91.9
Yes,60,M,No,"Austin, TX",No,Yes,Yes,No,937371,87.5,18.0,57689,8.1,91.9
No,17,M,Yes,"Austin, TX",No,Yes,No,No,937371,87.5,18.0,57689,8.1,91.9
Yes,25,M,No,"Austin, TX",No,Yes,Yes,No,937371,87.5,18.0,57689,8.1,91.9
Yes,29,M,No,"Austin, TX",Yes,Yes,No,No,937371,87.5,18.0,57689,8.1,91.9
Yes,35,M,No,"Austin, TX",No,Yes,No,No,937371,87.5,18.0,57689,8.1,91.9
Yes,34,M,No,"Austin, TX",No,Yes,Yes,No,937371,87.5,18.0,57689,8.1,91.9
Yes,26,F,No,"Austin, TX",Yes,Yes,No,No,937371,87.5,18.0,57689,8.1,91.9
Yes,47,M,No,"Austin, TX",No,Yes,Yes,No,937371,87.5,18.0,57689,8.1,91.9
Yes,30,F,Yes,"Austin, TX",Yes,Yes,Yes,No,937371,87.5,18.0,57689,8.1,91.9
Yes,20,M,No,"Austin, TX",Yes,Yes,No,No,937371,87.5,18.0,57689,8.1,91.9
Yes,24,M,Yes,"Austin, TX",No,Yes,Yes,No,937371,87.5,18.0,57689,8.1,91.9
Yes,29,M,Yes,"Fort Lauderdale, FL",No,Yes,No,No,178690,85.9,20.7,50778,31.0,69.0
Yes,56,M,No,"Levelland, TX",No,Yes,No,No,13658,77.9,15.4,48802,5.1,94.9
Yes,45,M,No,"Rexburg, ID",No,Yes,No,No,27995,97.8,46.1,25372,0.6,99.4
Yes,26,M,Yes,"Baltimore, MD",Yes,Yes,No,No,616410,82.5,23.7,42241,63.7,36.3
Yes,32,M,Yes,"Baltimore, MD",No,Yes,No,No,616410,82.5,23.7,42241,63.7,36.3
Yes,18,M,Yes,"Baltimore, MD",No,Yes,No,No,616410,82.5,23.7,42241,63.7,36.3
Yes,43,M,Yes,"Baltimore, MD",No,Yes,No,No,616410,82.5,23.7,42241,63.7,36.3
Yes,33,M,Yes,"Baltimore, MD",No,Yes,No,No,616410,82.5,23.7,42241,63.7,36.3
Yes,18,M,Yes,"Baltimore, MD",No,Yes,No,No,616410,82.5,23.7,42241,63.7,36.3
Yes,18,M,Yes,"Baltimore, MD",No,Yes,Yes,Yes,616410,82.5,23.7,42241,63.7,36.3
Yes,39,M,Yes,"Baltimore, MD",Yes,Yes,No,Yes,616410,82.5,23.7,42241,63.7,36.3
Yes,26,M,No,"Pueblo, CO",No,Yes,Yes,No,110044,85.3,25.0,34550,2.5,97.5
Yes,48,M,No,"Pueblo, CO",No,Yes,No,Yes,110044,85.3,25.0,34550,2.5,97.5
Yes,32,M,No,"Pueblo, CO",No,Yes,Yes,No,110044,85.3,25.0,34550,2.5,97.5
Yes,33,M,No,"Pueblo, CO",No,Yes,No,Yes,110044,85.3,25.0,34550,2.5,97.5
Yes,17,F,No,"Denver, CO",No,Yes,No,No,694802,86.1,17.3,53637,10.2,89.8
Yes,35,M,No,"Denver, CO",Yes,Yes,Yes,No,694802,86.1,17.3,53637,10.2,89.8
Yes,28,M,No,"Denver, CO",No,Yes,No,No,694802,86.1,17.3,53637,10.2,89.8
Yes,35,M,No,"Denver, CO",No,Yes,Yes,No,694802,86.1,17.3,53637,10.2,89.8
Yes,32,M,No,"Denver, CO",No,Yes,No,No,694802,86.1,17.3,53637,10.2,89.8
Yes,33,M,No,"Denver, CO",No,Yes,Yes,No,694802,86.1,17.3,53637,10.2,89.8
No,40,M,No,"Denver, CO",No,Yes,Yes,No,694802,86.1,17.3,53637,10.2,89.8
Yes,49,M,No,"Denver, CO",No,Yes,No,No,694802,86.1,17.3,53637,10.2,89.8
