@relation 'dataset-weka.filters.unsupervised.attribute.Reorder-R1,2,3,5,6,7,8,9,10,11,12,13,14,15,4-weka.filters.supervised.instance.SpreadSubsample-M0.0-X900.0-S1-weka.filters.unsupervised.attribute.Remove-R1,3-8'

@attribute age numeric
@attribute population numeric
@attribute percent_completed_hs numeric
@attribute poverty_rate numeric
@attribute median_income numeric
@attribute share_black numeric
@attribute share_not_black numeric
@attribute is_black {No,Yes}

@data
25,129069,89,9.4,79359,13.9,86.1,No
26,937371,87.5,18,57689,8.1,91.9,No
42,8554,83.9,22.3,46642,7.1,92.9,No
52,11757,90,19.1,38086,1,99,No
31,13392,92.6,14.7,40633,0.8,99.2,No
36,112788,91,9,67081,1.4,98.6,No
27,265576,96.3,12.3,92278,1.8,98.2,No
36,104248,85,11,65472,2.5,97.5,No
25,8434,72.3,10.3,49868,2.1,97.9,No
37,89209,88.2,16.4,42077,10.9,89.1,No
36,10062,95.5,28.2,52656,4.4,95.6,No
37,46925,93,8.9,55221,3.5,96.5,No
29,349580,75.8,16.5,60752,2.8,97.2,No
31,71051,91.3,24.2,48680,1.9,98.1,No
26,14716,89.8,9.7,57047,0.6,99.4,No
58,89209,88.2,16.4,42077,10.9,89.1,No
36,104248,85,12.1,65472,2.5,97.5,No
43,4242,75.8,10.7,54375,0.5,99.5,No
27,14293,83.8,21.3,38049,30.8,69.2,No
25,457818,93.1,13.4,54527,6.3,93.7,No
24,1355,94.7,29.3,38750,2.2,97.8,No
49,694802,86.1,17.3,53637,10.2,89.8,No
41,147756,83.1,24.8,38716,20.5,79.5,No
15,53740,56.3,19.7,46018,0.7,99.3,No
31,67032,97.4,5.4,136519,1.9,98.1,No
39,48524,87.7,14.2,43381,1.8,98.2,No
25,1609816,80.7,23.1,47326,6.5,93.5,No
26,870854,87,13.2,81294,6.1,93.9,No
41,28895,85.6,13.5,51097,1.9,98.1,No
33,8435,86.2,15.3,41176,21.2,78.8,No
22,446835,73.2,28.3,31051,19.2,80.8,No
53,5095,80.8,13.1,46122,18,82,No
33,150075,92.2,17.4,46947,23.2,76.8,No
59,870854,87,13.2,81294,6.1,93.9,No
21,120991,87.4,18.3,57028,22.1,77.9,No
24,182074,64.1,33.7,32894,0.4,99.6,No
60,25835,94,10.8,54134,1.3,98.7,No
19,140060,86.6,16.8,65974,2.3,97.7,No
29,937371,87.5,18,57689,8.1,91.9,No
36,2984,95.9,7.7,70652,2,98,No
45,19873,86.2,16.8,47717,13.5,86.5,No
31,5881,91.8,8.9,44875,0.4,99.6,No
52,7115,78.9,29.5,29964,56.2,43.8,No
19,1314,85.2,19.2,33750,0.3,99.7,No
40,75178,94.5,6.9,85671,6.7,93.3,No
37,3459,85.4,17.6,39982,0.8,99.2,No
57,757,77.6,15.8,37583,1.7,98.3,No
62,263583,88.3,19,43774,15.4,84.6,No
38,49865,93,6,95815,1.6,98.4,No
45,1609816,80.7,23.1,47326,6.5,93.5,No
63,2512,84,20.1,35823,13,87,No
69,292,94.4,2.7,69063,16.5,83.5,No
49,35041,87,11.4,51778,6,94,No
54,6745,80.3,22.6,41447,51,49,No
32,31665,85.7,23.7,36514,13.9,86.1,No
38,38770,90.7,12.1,62598,1.1,98.9,No
25,9180,89.2,21,36538,0.6,99.4,No
16,146347,75.6,22.9,41801,34.6,65.4,No
45,215050,91.6,19.9,42386,2.3,97.7,No
14,3959194,75.5,22.1,50205,9.6,90.4,No
36,10062,98.1,28.2,66828,0.9,99.1,No
28,12549,94.3,10.9,46486,0.8,99.2,No
20,77567,77.6,17.9,48823,14,86,No
47,208668,72.5,16.1,64824,10,90,No
23,204790,75.2,19.3,54590,18,82,No
38,63943,76.9,14.6,61248,5.3,94.7,No
42,109672,92.8,12.8,51012,0.8,99.2,No
36,10062,95.5,28.2,66828,0.9,99.1,No
23,1487680,81.4,19.8,46744,6.9,93.1,No
26,22258,98.2,3.8,124529,1.3,98.7,No
53,1073,84.9,14.4,28472,0.4,99.6,No
24,10237,81.3,18.4,49141,19,81,No
47,2981,91.8,11.8,65250,0.5,99.5,No
21,1322575,74.5,24,43781,25,75,No
40,29988,76,23.3,39061,41.5,58.5,No
36,15497,90.6,9.8,80734,1.5,98.5,No
36,80600,93.1,15.9,65000,0.2,99.8,No
36,10062,95.5,28.2,66828,4.4,95.6,No
24,95271,77.5,18.4,43754,3.2,96.8,No
36,12679,72.9,19,36800,1.3,98.7,No
36,2304401,76.7,22.5,46187,23.7,76.3,No
41,2946,72.1,31.7,34028,0.5,99.5,No
48,76055,94.1,9.1,56277,0.6,99.4,No
29,9180,89.2,21,36538,0.6,99.4,No
35,21850,89.2,17.5,47149,12.3,87.7,No
18,258965,89.5,17.2,45748,23.9,76.1,No
19,11801,84.9,9.6,41875,0.8,99.2,No
24,71653,83.8,32.3,29418,24.2,75.8,No
41,97958,85.5,13,52795,2.6,97.4,No
32,185312,87.8,25.7,34226,17.1,82.9,No
25,842929,88.4,16.8,53637,35,65,No
36,104248,85,11,66076,2.7,97.3,No
45,66742,87.5,24,38153,45.7,54.3,No
49,1768,72.9,33.7,28603,5.8,94.2,No
35,3959194,75.5,22.1,50205,9.6,90.4,No
27,76338,86.4,19.9,43298,6,94,No
22,248374,91.5,10,72695,4.8,95.2,No
27,3183,60.6,41.1,19297,43,57,No
36,80600,93.1,15.9,65000,10.3,89.7,No
22,1609816,80.7,23.1,47326,6.5,93.5,No
31,4228,87.6,6.7,50577,10.2,89.8,No
36,104248,85,12.1,65472,2.7,97.3,No
50,170,96.5,7.7,65625,0,100,No
22,679180,78,20.9,42772,3.4,96.6,No
33,1400678,87.3,15.4,66116,6.7,93.3,No
38,1981,90.9,8.6,51603,0.2,99.8,No
30,102872,67.4,19.7,50971,16.4,83.6,No
36,80600,93.1,7.7,40219,10.3,89.7,No
36,374662,79.6,19.8,57095,8.2,91.8,No
27,198247,86.3,26.5,34512,31.5,68.5,No
20,638306,85,18.3,47779,15.1,84.9,No
48,30740,93.7,34.1,34090,4.1,95.9,No
83,1401,85.2,23.6,33917,0.4,99.6,No
39,213481,89,9.3,83554,3.2,96.8,No
32,9888,92.2,6.6,68717,13.3,86.7,No
34,479716,89,24.6,47527,54,46,No
21,7553,75.3,29.6,31667,0.6,99.4,No
36,82550,83.6,15.7,43888,2.9,97.1,No
49,166076,93.5,24.4,43101,1.4,98.6,No
45,49661,77.7,17.6,53135,3.2,96.8,No
34,47163,96.8,4.9,95804,1.4,98.6,No
39,130992,92.1,35.6,31818,23,77,No
33,18941,88.1,16.8,45266,2.2,97.8,No
24,1609816,80.7,23.1,47326,6.5,93.5,No
53,10247,85,24.6,32536,0.7,99.3,No
54,21208,85.3,13.3,38909,9.9,90.1,No
23,166597,88.3,25.7,33557,4.1,95.9,No
47,23145,85.7,15.6,39206,3.1,96.9,No
27,1609816,80.7,23.1,47326,6.5,93.5,No
39,468498,79.4,20.6,52783,13.5,86.5,No
50,110222,87.6,17.6,43163,17.9,82.1,No
42,77391,78,52.1,70323,0.9,99.1,No
50,58933,91.8,10.5,57790,1,99,No
27,381,79.6,30.8,40625,3.9,96.1,No
33,100370,76.9,17.8,50601,3.3,96.7,No
31,558934,89,19.2,47030,3.3,96.7,No
32,867846,88.5,21.7,45659,28,72,No
43,8690,76.8,16.9,39823,19.1,80.9,No
38,1265,81.2,10.6,38313,16.2,83.8,No
47,490842,87.5,16.5,48809,3.5,96.5,No
24,211159,81.2,20.5,48577,4.2,95.8,No
36,68,76.7,6.7,42500,0,100,No
22,106772,96.3,23.1,58484,0.9,99.1,No
31,27526,41.2,30.1,35582,0.6,99.4,No
55,39360,95,5.7,91458,3.4,96.6,No
24,1029519,82.7,11.3,84647,3.2,96.8,No
48,49661,77.7,17.6,53135,3.2,96.8,No
22,163179,96,18.6,55647,1.2,98.8,No
41,7741,92.4,12.1,42098,0.4,99.6,No
55,257486,66.3,30.8,39711,0.5,99.5,No
44,130,80.2,18.8,43559,1.3,98.7,No
36,1202,87,10.6,55125,2.1,97.9,No
27,1649,80.3,18.4,35938,8.3,91.7,No
53,380945,86.6,21.8,44185,26.2,73.8,No
64,3984,68.1,34.3,32182,8,92,No
37,277034,89.5,20.2,42318,28.1,71.9,No
55,25933,75.6,16.8,47891,6.3,93.7,No
31,538171,84.2,25.3,37149,5,95,No
24,4368,74.4,32.9,25763,44.4,55.6,No
41,63943,76.9,14.6,61248,5.3,94.7,No
50,224367,94.3,14.3,50323,1.5,98.5,No
32,333270,54.8,22.1,52253,1.5,98.5,No
64,79179,87.6,15.9,59347,4.9,95.1,No
27,17619,90.3,18.2,42839,7.4,92.6,No
35,3308,88.2,15.5,35738,2.5,97.5,No
35,333270,54.8,22.1,52253,1.5,98.5,No
47,210150,87.6,18,52042,11.2,88.8,No
25,538171,84.2,25.3,37149,5,95,No
24,116269,90.5,28.8,41291,0.7,99.3,No
36,538171,84.2,25.3,37149,5,95,No
17,61207,91.3,18.9,45358,0.8,99.2,No
33,106499,88.9,13.8,62666,2.7,97.3,No
25,183261,91.7,21.6,49012,5.9,94.1,No
38,74250,67.6,39.9,25042,48.1,51.9,No
17,694802,86.1,17.3,53637,10.2,89.8,No
59,358,70.4,26.1,35192,0,100,No
53,21312,73.3,26.9,30744,14.1,85.9,No
22,349580,75.8,16.5,60752,2.8,97.2,No
19,468498,79.4,20.6,52783,13.5,86.5,No
53,105700,87.4,19.2,39706,20.9,79.1,No
53,855447,80.8,18.8,53214,18.9,81.1,No
45,626429,83.3,17.5,50202,11.1,88.9,No
28,1487680,81.4,19.8,46744,6.9,93.1,No
51,393428,84.7,17.5,53326,18.8,81.2,No
45,1029519,82.7,11.3,84647,3.2,96.8,No
42,867846,88.5,21.7,45659,28,72,No
42,38809,89.1,16.6,41575,1.4,98.6,No
56,87132,89.9,15.4,50047,3.3,96.7,No
27,14241,85.4,11.2,52621,12,88,No
37,19393,89.2,12.6,45695,0.8,99.2,No
53,828,89.2,25.5,22069,0.7,99.3,No
59,87413,77.7,11.6,72872,6.2,93.8,No
31,2304401,76.7,22.5,46187,23.7,76.3,No
43,403186,86.9,20.2,42284,15.9,84.1,No
25,446835,73.2,28.3,31051,19.2,80.8,No
31,77168,97.3,5.8,85418,5.2,94.8,No
31,2716,94.3,7.3,60597,0.1,99.9,No
15,1400678,87.3,15.4,66116,6.7,93.3,No
40,112854,90.7,9.1,68442,1,99,No
30,112788,91,9,67081,1.4,98.6,No
38,242280,85.7,18.3,47012,2.9,97.1,No
34,17590,88.9,19.9,37798,2.6,97.4,No
29,3959194,75.5,22.1,50205,9.6,90.4,No
36,104248,85,11,66076,2.5,97.5,No
25,26599,98.1,4.8,85464,0.7,99.3,No
26,3767,80.7,27.3,31009,3.4,96.6,No
16,14961,94,10,67695,11.8,88.2,No
55,4069,87.1,17.8,39274,10.4,89.6,No
71,88184,73.7,19.5,50525,2.4,97.6,No
36,208668,72.5,16.1,64824,10,90,No
24,237412,95.6,6.6,82424,3.4,96.6,No
27,26858,90.3,24.4,36250,26.6,73.4,No
29,144629,80.7,26.9,49604,21.8,78.2,No
38,48943,78.4,35.9,27990,46.1,53.9,No
32,20790,49.9,20.5,40938,0.5,99.5,No
36,115629,57.8,24.9,38085,0.8,99.2,No
34,403186,86.9,20.2,42284,15.9,84.1,No
45,11510,78,25.8,31465,52,48,No
28,43215,93.2,12.7,59091,9,91,No
27,1487680,81.4,19.8,46744,6.9,93.1,No
41,3344,81.6,24.2,33764,4,96,No
40,5959,82.2,25.9,26877,0.6,99.4,No
23,558934,89,19.2,47030,3.3,96.7,No
40,3026,79.3,25.8,34898,0.3,99.7,No
27,9519,79.6,30.1,34211,5.7,94.3,No
55,2499,87.8,22.5,47277,0.4,99.6,No
40,415678,88.6,21.9,51480,18.6,81.4,No
21,152242,77.8,24.9,38749,26.8,73.2,No
41,2359,94.9,11,73380,0.6,99.4,No
44,66547,95.7,6.5,81898,1.1,98.9,No
34,26446,51.1,32.7,39580,7.6,92.4,No
43,638306,85,18.3,47779,15.1,84.9,No
56,12092,92.6,16.4,55168,29.9,70.1,No
30,4242,96.7,7.7,45283,1.8,98.2,No
33,558934,89,19.2,47030,3.3,96.7,No
41,1752,88.2,17.8,38558,4.8,95.2,No
33,112788,91,9,67081,1.4,98.6,No
30,72067,89.3,17.2,52530,10.1,89.9,No
31,105524,58.7,21.2,50433,1.7,98.3,No
59,20183,82.7,23.7,45923,17.9,82.1,No
37,46925,93,9.1,72399,3.5,96.5,No
36,104248,88.7,11,66076,2.7,97.3,No
36,17442,76.2,21.4,38055,27.4,72.6,No
39,26097,89.9,17.9,41582,8.2,91.8,No
43,855447,80.8,18.8,53214,18.9,81.1,No
30,1410,92.5,13,43438,2.9,97.1,No
24,1322575,74.5,24,43781,25,75,No
22,5380,92.2,10,53690,0.7,99.3,No
37,46925,90.3,9.1,55221,3.5,96.5,No
36,30241,64.3,18,52824,0.5,99.5,No
51,36953,91.4,9.8,51149,2.3,97.7,No
33,92506,79.6,10.9,72421,23.8,76.2,No
30,538171,84.2,25.3,37149,5,95,No
34,937371,87.5,18,57689,8.1,91.9,No
53,501,74.7,36.5,29063,1,99,No
35,26104,92.4,11.4,57790,1.6,98.4,No
37,18498,88.4,15.2,44675,32.4,67.6,No
36,4687,65,52.3,19409,66.6,33.4,No
53,50470,88.8,26.5,36032,1,99,No
36,393428,84.7,17.5,53326,18.8,81.2,No
55,1487680,81.4,19.8,46744,6.9,93.1,No
40,6278,91.2,28.8,38679,2.3,97.7,No
36,80600,89.2,7.7,65000,0.2,99.8,No
36,104248,85,12.1,65472,2.7,97.3,No
31,937371,87.5,18,57689,8.1,91.9,No
48,3358,78.9,36.7,26605,15.9,84.1,No
42,49648,95.2,33,30799,4.7,95.3,No
66,391,86.3,18.1,46250,0,100,No
37,11967,83,30.6,33843,0.8,99.2,No
30,626429,83.3,17.5,50202,11.1,88.9,No
41,3378,80.7,32.6,30114,0.5,99.5,No
38,83219,71.9,26,41818,0.7,99.3,No
34,5928,74,28.7,28414,59.6,40.4,No
31,12190,84.8,37.1,30487,54.1,45.9,No
33,41697,94.1,26.2,41425,4,96,No
36,367,67.1,30.7,41071,31.9,68.1,No
37,46925,93,9.1,72399,1.5,98.5,No
56,11566,87.4,9.2,57045,22.1,77.9,No
21,11801,84.6,9.6,41875,0,100,No
41,1228,83.9,27,39567,2.3,97.7,No
21,11801,84.6,19.9,41875,0,100,No
42,374662,79.6,19.8,57095,8.2,91.8,No
68,20925,89.7,12,50165,14.7,85.3,No
43,33660,79.9,20.9,47052,24.4,75.6,No
33,110044,85.3,25,34550,2.5,97.5,No
25,83846,91.7,24,39432,6,94,No
37,48395,95.8,11,54040,4.9,95.1,No
29,11531,73.7,19.3,45307,10.5,89.5,No
